# tsumugu-ed public character form list · char	pinyin	gloss	parts(glyph=role:identity | ...)	form-zh · built 2026-08-26 from entries/chars
一	yī	number — one	一=form:one stroke — one count	一筆，一個——全字典最簡單的字。疊起來就是二和三。
丁	dīng	noun — a nail	丁=form:the head and shaft of a nail, seen from the side	一根釘子從側面看——釘頭加釘身。這個樣子當聲音很能生：釘（金屬釘）、訂（釘住、約定）、頂（頂端）、盯（盯著看）。又借去當天干第四，和成年男子——壯丁、人丁。
七	qī	num — seven	七=form:a cross-cut — one stroke cut through another	一筆橫著，一筆切過去——這是切的本字。七借走了它；為了跟十分開，豎筆彎出一個尾巴。切後來添了刀，把切的意思帶走。
丈	zhàng	noun — a unit of ten chi	又=meaning:a hand | 丨=meaning:the staff it grips	一隻手（又）握著十尺長的量竿（丨）——那個長度就是一丈。手磨平成了上面那一橫，已經看不出是手了。從拿竿子的人，引出丈夫、丈人。
三	sān	num — three	三=form:three strokes, one for each	三橫疊起來——數到三。最老的數字就是刻痕：一、二、三一筆一筆加，到了四就不再疊了。
上	shàng	noun/verb — above, up	上=form:a short stroke set above the base line — pointing up (指事)	長長一橫是地，上面短短一筆——上。指出來的方向變成動作：上山、上車；變成去：上班、上學；也變成前一個：上次、上個月。
下	xià	prep/verb — below, under	下=form:a mark hung under the line — below, drawn directly	長橫是基準，短畫掛在下面——「下」直接畫出來。翻過來就是上。從下面生出各種下：下車、下來，接著來的下次、下個月，放下的下。
不	bù	adverb — not	不=form:a borrowed graph, drawn whole	古文字有兩個說法：一隻鳥直直往上飛、不肯下來；或是花朵底下的花萼——柎的本字。否定的「不」把字整個借走，再也沒還：不是、不要、不好。
丐	gài	verb — to beg	亡=meaning:to have lost, to be without | 人=meaning:a person	一個一無所有（亡）的人（人），伸著手——乞討的人。從這「討」來了乞丐、行丐；古字也能反過來，給人所求。
且	qiě	conj/adv — moreover	且=form:rendered bare — the old graph carries two tellings	古文字有兩個說法：祖先的牌位立在座上——祖的本字；或是疊著祭品的供桌，和俎同源。兩個都立在祠堂裡。日常的話借走了這個字：而且、並且，還有暫且。
世	shì	noun — generation	世=form:three tens (十) joined — thirty years	三個十（十）連成一個字——三十年，一代人的長度。從一代人，到一代人活著的年代（世紀、世代），再到一代人活著的人間（世界、世上）。
丘	qiū	noun — a mound, hillock	丘=form:a mound of raised earth — two peaks with a dip between	一幅高起的地的圖：說文說「土之高也」。古字畫兩個小峰、中間凹一塊，平地上一道矮丘的樣子：山丘、丘陵。
丙	bǐng	noun — the third heavenly stem	丙=form:the spread base of a stand, under a flat top	一塊平頂架在底盤上，腳往兩邊張開——本是「底座、几案」的字，下盤穩穩的。早早被借去當天干第三，也就成了排序的第三——丙等、甲乙丙。當聲音還撐著炳（明亮）、柄（把手）。
丟	diū	verb — to lose	一=meaning:one thing — the single item | 去=sound:qù — gone, away; lends the sound and the going-away sense	一樣東西（一）去了（去）——就不見了。上面那一橫壓在「去」上頭，凡是脫手的都是丟：丟掉、丟了。
並	bìng	adv/conj — side by side	立=meaning:a person standing | 立=meaning:a second person, standing alongside	兩個人（立、立）肩並肩站著，高低一齊——並排、一起。從這「站齊」來了並排、並肩；把兩件事擺到一樣高的連接詞，並且；擺在「不」前頭，就是斬釘截鐵的並不、並非。
中	zhōng	noun — middle, center	中=form:a pole planted through the center of a marked space	一根直竿，插在範圍的正中間——中。讀四聲，就是射中那個中心：中獎。
串	chuàn	verb — to string together	串=form:two rings threaded on one upright line	一條直線（丨）穿過兩個圈（兩個口）——東西串在繩上，一串。從這「穿成串」來了一串、串珠；拿一條線貫穿連起，就是貫串、串連；人被串在一塊兒，就是串通。
丹	dān	noun — cinnabar, vermilion	丹=form:a grain of red mineral inside the frame of a mine-pit	把礦井畫成一個框，框裡一點，就是挖出來的紅礦——硃砂，以及由它調出的丹紅。從這紅色來了丹青（繪畫）、丹心（赤誠的心）；煉丹家把它磨煉成藥丸，就是丹藥。
主	zhǔ	noun/adj — master, host	主=form:a lamp on its stand, the dot its flame — the old graph of the lamp-flame (now 炷)	燈座上一點火——本義是燈火，後來寫作炷。一屋子的眼睛都朝著那點光，借成了主人、主要的主。
