# tsumugu-ed public word list · headword	pinyin	gloss (full en definition)	level · built 2026-08-26 from entries/words + indexes/by-level.json
一一	yīyī	adverb — one by one, one after another, each in turn	TOCFL 4
一下	yīxià	after a verb — once, briefly, for a moment (試一下 give it a try)	TOCFL 1
一下子	yīxiàzi	adverb — all at once; in an instant; suddenly	TOCFL 2
一下子兒	yīxiàzir	adverb — in a moment, all at once, in one go (一下子兒就好了 done in a flash)	TOCFL 1
一些	yīxiē	determiner — some, a few, a little (一些朋友 a few friends)	TOCFL 1
一代	yīdài	noun — a generation; one era of a line (of people, machines, rulers)	TOCFL 4
一件	yījiàn	measure phrase — one item (of clothing, matter, luggage)	TOCFL 1
一個個	yīgègè	adverb — one by one; each and every one in turn	TOCFL 1
一共	yīgòng	adverb — altogether, in total (一共多少錢 how much in all)	TOCFL 1
一再	yīzài	adverb — again and again, repeatedly, time after time	TOCFL 4
一切	yīqiè	determiner / pronoun — all, every, the whole lot (一切順利 all goes well)	TOCFL 2
一半	yībàn	noun — one half	TOCFL 2
一半兒	yībànr	noun — one half (the colloquial 兒-form of 一半)	TOCFL 1
一口氣	yīkǒuqì	noun — one breath; adverb — in one go, all at once	TOCFL 5
一同	yītóng	adverb — together, in company (doing something jointly)	TOCFL 3
一向	yīxiàng	adverb — all along, consistently (up to now)	TOCFL 3
一味	yí wèi	adverb — blindly, single-mindedly; doing one thing without regard for anything else	TOCFL 5
一回	yīhuí	measure — one time, one occurrence; one chapter (of a classic novel)	TOCFL 3
一場	yīchǎng	measure — one round of (rain, illness, a game, an event)	TOCFL 2
一塊	yīkuài	measure phrase — one piece, one lump; adverb — together (一塊去 to go together)	TOCFL 2
一塊兒	yīkuàir	adverb — together, in one group (一塊兒走 to leave together); colloquial	TOCFL 2
一大早	yīdàzǎo	noun phrase — early in the morning, first thing in the morning	TOCFL 4
一天到晚	yītiāndàowǎn	idiom — all day long, from morning till night (often of something done constantly or annoyingly)	TOCFL 4
一套	yītào	measure phrase — a set; a suite (of things, or of methods)	TOCFL 3
一如	yì rú	verb — to be just like, exactly as; (formal) as it always was	TOCFL 5
一定	yīdìng	adverb — certainly; definitely; surely; adjective — certain; fixed	TOCFL 1
一家	yījiā	noun — one family; the whole household	TOCFL 1
一對	yīduì	measure — a pair, a couple (two that go together)	TOCFL 3
一層	yīcéng	measure — one layer; one floor (of a building)	TOCFL 2
一帶	yīdài	noun — the area around a place, a zone, the vicinity	TOCFL 4
一度	yīdù	adverb — once, at one time; noun — one degree (of temperature, angle)	TOCFL 6
一張	yīzhāng	measure — one (flat thing: paper, ticket, table, face, mouth)	TOCFL 1
一律	yí lǜ	adverb — without exception, uniformly; the same rule applied to all	TOCFL 5
一心	yì xīn	adverb — wholeheartedly, single-minded; with the whole heart fixed on one thing	TOCFL 5
一招	yīzhāo	noun phrase — one move; one trick (a single tactic or maneuver)	TOCFL 4
一方	yīfāng	noun — one side, one party (in a dispute or deal); one area, one region	TOCFL 3
一方面	yīfāngmiàn	noun/conj — one aspect; on the one hand (often paired with 另一方面 "on the other hand")	TOCFL 3
一旁	yīpáng	noun — one side, off to the side, aside	TOCFL 4
一日	yīrì	noun phrase — one day; a single day	TOCFL 2
一旦	yīdàn	conjunction — once; in the event that	TOCFL 5
一時	yīshí	adverb — for a moment, momentarily; for a time	TOCFL 4
一會	yīhuì	noun — a little while; a moment	TOCFL 2
一會兒	yīhuìr	noun — a little while; a moment	TOCFL 2
一根	yīgēn	measure — one (long thin thing: a stick, hair, rope, needle)	TOCFL 2
一概	yí gài	adverb — categorically, all without exception; every one treated the same	TOCFL 5
一樣	yīyàng	adjective — the same; identical; just like	TOCFL 1
一步	yībù	noun — one step; a single step	TOCFL 3
一流	yì liú	adjective — first-rate, top-class; ranked in the highest tier	TOCFL 5
一生	yīshēng	noun — one's whole life, a lifetime	TOCFL 4
一番	yīfān	measure phrase — a round of; a bout of (effort, talk, trouble)	TOCFL 5
一直	yīzhí	adverb — all along, continuously; straight on (一直走 keep going straight)	TOCFL 1
一眼	yīyǎn	noun/measure — one glance; a single look	TOCFL 3
一系列	yīxìliè	determiner — a series of, a whole string of	TOCFL 6
一級	yījí	noun — first grade, top tier; level one	TOCFL 4
一致	yīzhì	adjective — consistent, in agreement, unanimous	TOCFL 5
一般	yībān	adjective — ordinary; general; common; adverb — generally; usually	TOCFL 2
一般來說	yībānláishuō	phrase — generally speaking, as a rule	TOCFL 3
一般而言	yìbān ér yán	phrase — generally speaking, in general, as a rule	TOCFL 4
一處	yīchù	measure — one place, one spot (a single location)	TOCFL 3
一貫	yí guàn	adjective — consistent, all-along; held to the same way from start to end	TOCFL 5
一起	yīqǐ	adverb — together, in the same place (一起去 go together)	TOCFL 1
一路	yīlù	adv/noun — all the way; the whole journey; (一路順風 safe travels)	TOCFL 3
一身	yīshēn	noun — the whole body, head to toe; a suit of (clothes); the whole of (a skill, a debt) on one person	TOCFL 5
一輩子	yībèizi	noun — a whole lifetime, all one's life	TOCFL 5
一連	yīlián	adverb — in a row, in succession (followed by a count)	TOCFL 3
一連串	yì lián chuàn	noun-phrase — a whole string of, a series; many things following one after another	TOCFL 5
一遍	yībiàn	measure — one time through (reading, watching, doing from start to end)	TOCFL 2
一道	yí dào	adverb — together, along with; (colloquial) doing something side by side	TOCFL 5
一部分	yībùfèn	noun — a portion, a part of something	TOCFL 2
一面	yímiàn	noun — one side, one surface; adverb — (一面…一面…) doing one thing while doing another	TOCFL 4
一項	yīxiàng	measure phrase — one item; one (of tasks, rules, achievements)	TOCFL 5
一類	yīlèi	noun — one kind, one category; a class (of things)	TOCFL 3
一點	yīdiǎn	determiner — a little, a bit (a small amount); also one o'clock (一點鐘)	TOCFL 1
一點兒	yīdiǎnr	determiner — a little, a bit (the colloquial 兒-form of 一點)	TOCFL 1
一點點	yīdiǎndiǎn	determiner — a tiny bit, just a little (一點點 doubled for smallness)	TOCFL 1
一齊	yīqí	adverb — all at once, all together, in unison	TOCFL 6
丁能通	Dīng Néngtōng	proper noun — Ding Nengtong, the protagonist of Wang Xiaofang's novel The Director of the Beijing Liaison Office (駐京辦主任)	named-entity
丈夫	zhàngfu	noun — husband	TOCFL 4
三分	sānfēn	noun — three parts (out of ten); three points (as in a basketball three-pointer)	TOCFL 4
三峽	Sānxiá	proper noun — the Three Gorges, the three river canyons on the Yangtze in central China	TOCFL 6
三年	sānnián	noun — three years	TOCFL 1
三明治	sānmíngzhì	noun — sandwich	TOCFL 1
三級	sānjí	noun — the third grade; third level	TOCFL 4
三角形	sānjiǎoxíng	noun — triangle	TOCFL 4
上下	shàngxià	noun — up and down; adv — roughly, about (after a number)	TOCFL 5
上來	shànglái	verb — to come up (toward the speaker); [after a verb] managing to do it	TOCFL 1
上升	shàngshēng	verb — to rise; to go up	TOCFL 5
上午	shàngwǔ	noun — the morning; the forenoon (before noon)	TOCFL 1
上去	shàngqù	verb — to go up (away from the speaker)	TOCFL 1
上台	shàngtái	verb — to go on stage, take the platform; to come to power, take office	TOCFL 4
上司	shàng si	noun — boss, superior; the person above you at work	TOCFL 5
上吊	shàng diào	verb — to hang oneself; to die by hanging from a rope	TOCFL 5
上好	shàng hǎo	adjective — top-quality, finest; of the highest grade	TOCFL 5
上學	shàngxué	verb — to go to school; to attend school	TOCFL 1
上市	shàngshì	verb — to go on the market; to be listed on the stock exchange	TOCFL 5
上帝	shàngdì	noun — God (Christian); the supreme deity, the Lord on high	TOCFL 3
上年	shàngnián	noun — last year; the previous year	TOCFL 1
上旬	shàng xún	noun — the first ten days of a month; the early third of the month	TOCFL 5
上海	Shànghǎi	proper noun — Shanghai, China's largest city, on the east coast	TOCFL 2
上海市	shànghǎishì	proper noun — Shanghai, China's largest city and financial hub, at the mouth of the Yangtze	named-entity
上游	shàngyóu	noun — upper reaches of a river, upstream; (figurative) the front-end / leading position	TOCFL 4
上演	shàng yǎn	verb — to stage, put on, screen; to present a play or film to an audience	TOCFL 5
